"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"Amity University Noida, India","AD00414","J1729",2025-02-24,23.7,71,156.9,264.1,33,31.3
"Tainan, Taiwan","AD00406","J2007",2025-02-24,24,73,32.7,44.7,35.2,25.9
"Amity University Noida, India","AD00414","J1729",2025-02-23,24,73,159,274.4,34,30.7
"Tainan, Taiwan","AD00406","J2028",2025-02-23,9,28,23.8,28.8,38,30.3
"Amity University Noida, India","AD00414","J1729",2025-02-22,23.7,72,91.1,137.8,34.8,30.5
"Tainan, Taiwan","AD00406","J2028",2025-02-22,24,73,21.5,30.1,39.6,28
"Amity University Noida, India","AD00413","J1498",2025-02-21,5,16,151.9,229.1,22.2,37.4
"Amity University Noida, India","AD00414","J1736",2025-02-21,5,16,152.8,235.3,31.1,36.5
"Tainan, Taiwan","AD00406","J2043",2025-02-21,9,28,34.1,43.9,35.1,32.6
"Amity University Noida, India","AD00413","J1498",2025-02-20,23.7,71,116,156.1,23.6,34.2
"Amity University Noida, India","AD00414","J1736",2025-02-20,23.7,72,92.4,132.3,34.8,31.2
"Tainan, Taiwan","AD00406","J2043",2025-02-20,24,73,33.5,46.1,42.7,27
"Amity University Noida, India","AD00413","J1538",2025-02-19,22.6,59,115.1,177.4,21.2,32.8
"Amity University Noida, India","AD00414","J1731",2025-02-19,23.3,71,115.4,182.4,30,32.4
"Tainan, Taiwan","AD00406","J2040",2025-02-19,9.3,29,35.5,46.9,31.8,33.6
"Amity University Noida, India","AD00413","J1538",2025-02-18,24,61,107.2,175.5,16.6,37.6
"Amity University Noida, India","AD00414","J1731",2025-02-18,23.7,72,80.2,141.2,27.3,33.4
"Tainan, Taiwan","AD00406","J2040",2025-02-18,24,73,24.8,58.6,39.3,27.1
"Amity University Noida, India","AD00413","J1490",2025-02-17,22.7,68,179.6,240.3,22.3,33.1
"Amity University Noida, India","AD00414","J1724",2025-02-17,23,70,157.3,208.1,20.7,42.3
"Amity University Noida, India","AD00413","J1490",2025-02-16,23.7,54,233.3,338.6,24.4,31.2
"Amity University Noida, India","AD00414","J1724",2025-02-16,23.7,72,183.6,283.8,24.4,38.2
"Tainan, Taiwan","AD00406","J2042",2025-02-16,9.3,29,51.2,62.5,40.9,33.7
"Amity University Noida, India","AD00413","J1490",2025-02-15,23.7,68,259.9,449.7,20.5,31.5
"Amity University Noida, India","AD00414","J1724",2025-02-15,23.7,72,194.2,335.9,27.4,34
"Tainan, Taiwan","AD00406","J2042",2025-02-15,23.7,72,34.9,55.8,42.3,29.2
"Amity University Noida, India","AD00413","J1490",2025-02-14,24,73,113.3,175.9,18.7,30.6
"Amity University Noida, India","AD00414","J1724",2025-02-14,23.6,72,80.2,118.9,25,32.1
"Tainan, Taiwan","AD00406","J2066",2025-02-14,9,28,38.4,47,51,27.7
"Amity University Noida, India","AD00413","J1490",2025-02-13,23.7,72,76.4,111.2,16,33.7
"Amity University Noida, India","AD00414","J1724",2025-02-13,24,73,60.8,87.2,26.6,29.9
"Tainan, Taiwan","AD00406","J2066",2025-02-13,24,73,29.3,37.2,52.3,22.3
"Amity University Noida, India","AD00413","J1536",2025-02-12,23.3,68,87.2,147.6,21.2,30.4
"Amity University Noida, India","AD00414","J1723",2025-02-12,23,70,84.6,148.1,29.4,29.8
"Tainan, Taiwan","AD00406","J2044",2025-02-12,9.3,29,42.3,57.3,53,25.3
"Amity University Noida, India","AD00413","J1536",2025-02-11,23.7,72,189,286,16.9,37.9
"Amity University Noida, India","AD00414","J1723",2025-02-11,24,73,139.6,212.9,27.7,33.9
"Tainan, Taiwan","AD00406","J2044",2025-02-11,23.7,72,41.3,66,40.4,28.1
"Tainan, Taiwan","AD00406","J2054",2025-02-09,9,28,28.7,35.3,31.8,28.6
"Tainan, Taiwan","AD00406","J2054",2025-02-08,24,73,19.5,28.1,35.2,21.1
"Tainan, Taiwan","AD00406","J2057",2025-02-07,9.3,29,28.5,37.7,38.5,29.1
"Tainan, Taiwan","AD00406","J2057",2025-02-06,23.7,72,32.9,51.4,40.5,25.7
"Tainan, Taiwan","AD00406","J2058",2025-02-05,9.3,29,31.6,43.5,25.3,30.6
"Tainan, Taiwan","AD00406","J2058",2025-02-04,23.7,72,32.5,41.2,32.7,22
"Tainan, Taiwan","AD00406","J2106",2025-01-27,9.3,29,16.4,30.2,33.8,22.7
"AASTU, Ethiopia","AD00098","J1986",2025-01-26,0,1,21,21,31.4,22
"Tainan, Taiwan","AD00406","J2106",2025-01-26,23.7,72,16,35,33.9,27.1
"Tainan, Taiwan","AD00406","J2107",2025-01-25,9.3,29,57.4,70.5,35.5,34.7
"AASTU, Ethiopia","AD00098","J1986",2025-01-24,14.7,38,20.5,36.6,28.2,22.3
"Tainan, Taiwan","AD00406","J2107",2025-01-24,23.7,72,36.8,55.5,37.7,30.5
"AASTU, Ethiopia","AD00098","J1986",2025-01-23,22.7,44,14.8,37,13.1,33.4
"Tainan, Taiwan","AD00406","J2096",2025-01-23,9,28,60.2,89,33.7,34
"Tainan, Taiwan","AD00406","J2096",2025-01-22,24,73,68.3,97.2,40.2,27.7
"Tainan, Taiwan","AD00406","J2100",2025-01-20,9.3,29,34.9,62.5,27,35.4
"Tainan, Taiwan","AD00406","J2100",2025-01-19,23.7,72,41.1,60.8,39.1,26.1
"Tainan, Taiwan","AD00406","J2095",2025-01-17,1,4,40.7,41.8,32.8,29.7
"Tainan, Taiwan","AD00406","J2095",2025-01-16,23.7,72,22.8,33.6,36.5,22.9
"Tainan, Taiwan","AD00406","J2081",2025-01-15,6.3,20,73.6,119.9,41.5,25.5
"Tainan, Taiwan","AD00406","J2081",2025-01-14,24,74,56.1,82.4,36.6,25
"AASTU, Ethiopia","AD00098","J1985",2025-01-13,6.7,19,14.2,19.2,24,31.8
"Tainan, Taiwan","AD00406","J2081",2025-01-13,23.7,72,33.8,56.8,30.4,28.1
"AASTU, Ethiopia","AD00098","J2325",2025-01-11,0,1,18,18,37.1,17.9
"Adama, Ethiopia","AD00412","J2336",2025-01-11,22.3,67,25.6,44.7,24.8,31.5
"Tainan, Taiwan","AD00406","J2104",2025-01-11,9,28,23.1,30.8,29.6,29.7
"Adama, Ethiopia","AD00412","J2336",2025-01-10,23.7,71,24.7,53.7,16.1,40.3
"Tainan, Taiwan","AD00406","J2104",2025-01-10,24,73,15.2,26.9,31.9,24.2
"AASTU, Ethiopia","AD00098","J2325",2025-01-09,0.7,3,21.1,23.7,12,43.2
"AASTU, Ethiopia","AD00098","J2317",2025-01-08,1.3,3,9.9,10.3,20.9,29.3
"Tainan, Taiwan","AD00406","J2078",2025-01-08,6,19,29.4,35.4,21.8,35.9
"AASTU, Ethiopia","AD00098","J2265",2025-01-06,0,1,15.6,15.6,16,28.2
"Tainan, Taiwan","AD00406","J2105",2025-01-06,12,37,59.2,75.7,32.5,30.7
"Tainan, Taiwan","AD00406","J2105",2025-01-05,24,73,37.6,51.5,40.2,26.7
"Tainan, Taiwan","AD00406","J2105",2025-01-04,23.7,72,18.3,31.3,38.6,29
"AASTU, Ethiopia","AD00098","J2293",2025-01-03,16,35,15.8,26.3,21.8,29.5
"AASTU, Ethiopia","AD00098","J2275",2025-01-02,0,1,14.4,14.4,31.5,26.9
"AASTU, Ethiopia","AD00098","J2275",2025-01-02,7.3,6,9.5,14.6,20.8,33.3
"Tainan, Taiwan","AD00406","J2086",2025-01-02,9.3,29,39.7,46.8,48.6,26
"Tainan, Taiwan","AD00406","J2086",2025-01-01,23.7,72,43.6,69.6,38.1,28.5
"AASTU, Ethiopia","AD00098","J2275",2024-12-31,7.3,9,8.2,10.8,9.5,42.8
"Tainan, Taiwan","AD00406","J2098",2024-12-31,9,28,49.3,58.8,32.5,30.5
"Tainan, Taiwan","AD00406","J2098",2024-12-30,23.7,72,35.5,49.6,33,29.3
"AASTU, Ethiopia","AD00098","J2269",2024-12-28,6.7,20,18.5,23.6,34.7,18.2
"Tainan, Taiwan","AD00406","J2103",2024-12-28,9.3,29,42.5,70.8,32.7,29.3
"AASTU, Ethiopia","AD00098","J2269",2024-12-27,16,15,15.4,18.6,29.2,26.2
"Tainan, Taiwan","AD00406","J2103",2024-12-27,23.7,72,28.9,43.3,40.2,25.9
"AASTU, Ethiopia","AD00098","J2267",2024-12-26,7.3,22,21.3,33.2,36.3,20.1
"AASTU, Ethiopia","AD00098","J2267",2024-12-25,24,73,14.4,21.2,23.5,29.4
"AASTU, Ethiopia","AD00098","J2267",2024-12-24,15.3,46,13.8,17,15.7,36.9
"AASTU, Ethiopia","AD00098","J2266",2024-12-23,8,8,17.7,29,17.9,34.1
"AASTU, Ethiopia","AD00098","J2266",2024-12-22,23.7,69,14.2,24.4,21.3,32.8
