filter,site,lat,lng,device,deploy_start,shutdown_mode,flow_avg_l_min,sample_vol_L,run_time_filter_hrs,run_time_hrs,gravi_pre_ug,gravi_post_ug,gravi_diff_ug,gravi_con_ugm3,error_flag
J0462,tainan,23.00163,120.2207,AD00092,2022-08-12T00:00:00,0,1.99,2879.45,24.004,46.97,99205.33333,99211.66667,6.333333333,2.199494116,
J0464,tainan,23.00217,120.2206,AD00101,2022-11-05T00:00:00,2,1.99,2878.74,24.004,31.97,100532.6667,100607.6667,75,26.05306488,
J0465,tainan,23.00217,120.2206,AD00092,2022-10-06T00:00:00,0,1.99,2877.86,24.004,46.97,99046.33333,99054.66667,8.333333333,2.895670162,
J0468,taichung,24.16222,120.6165,AD00094,2022-10-25T01:21:00,2,1.99,619.57,5.171,5.17,101490.3333,101509,18.66666667,30.1284224,
J0470,tainan,23.00217,120.2206,AD00092,2022-10-13T01:01:00,2,1.99,2375.07,19.808,19.8,100094.6667,100115.6667,21,8.841844661,
J0477,beijing,39.9527,116.4606,AD00100,2024-01-05T00:00:00,0,1.94,2798.81,24.001,46.95,,,,,
J0478,tainan,23.00223,120.2207,AD00101,2022-11-09T00:00:00,0,2,2880.18,24.004,46.97,99863.66667,99896.66667,33,11.45761723,
J0485,tainan,23.00215,120.2207,AD00092,2022-10-01T00:00:00,0,1.99,2878.56,24.004,46.97,100294.6667,100312.6667,18,6.253126563,
J0488,taichung,24.16222,120.6165,AD00094,2022-08-16T01:01:00,2,1.99,1959.32,16.333,16.33,99105.66667,99132.66667,27,13.78029112,
J0489,taichung,24.16223,120.6166,AD00094,2022-11-01T01:01:00,2,1.99,635.78,5.308,5.3,99857.66667,99881.66667,24,37.74890685,
J0494,manesar,28.54396,77.3353,AD00102,2022-07-27T00:00:00,2,1.99,2489.96,20.779,20.77,100568.3333,100617,48.66666667,19.54516003,
J0496,beijing,39.95277,116.4605,AD00100,2024-02-26T00:00:00,0,2,2880.32,24.004,43.91,,,,,
J0498,taichung,24.16222,120.6166,AD00094,2022-10-13T01:01:00,2,1.91,274.94,2.399,2.39,99626.66667,100471.6667,845,3073.397832,
J0499,tainan,23.00218,120.2206,AD00092,2022-09-24T00:00:00,0,1.99,2879.05,24.004,46.97,100434,100444.3333,10.33333333,3.589146883,
J0501,manesar,28.54392,77.33531,AD00102,2022-08-17T00:00:00,1,1.99,2879.67,24.004,26.52,100470.6667,100518.3333,47.66666667,16.5528226,
J0506,tainan,23.00165,120.2207,AD00092,2022-08-28T00:00:00,0,1.99,2879.21,24.004,46.97,101931.3333,101950.6667,19.33333333,6.714804871,
J0508,manesar,28.54397,77.33528,AD00102,2022-07-19T00:00:00,1,1.99,2879.06,24.004,24.06,100961,101055.3333,94.33333333,32.76532387,
J0509,manesar,28.31767,76.91596,AD00088,2022-08-10T00:00:00,0,1.99,2879.42,24.004,43.97,100137.3333,100196.6667,59.33333333,20.60600167,
J0511,manesar,28.54392,77.3353,AD00102,2022-08-24T00:00:00,1,2,2880.22,24.004,26.75,98905.66667,98958,52.33333333,18.16990832,
J0513,pasadena,34.19942,-118.173,AD00099,2022-08-26T00:00:00,0,1.86,2687.12,24.003,31.32,100776.3333,100900.6667,124.3333333,46.27010827,
J0515,pasadena,34.19942,-118.173,AD00099,2022-08-06T00:00:00,0,1.86,2687.16,24.003,31.98,100562.6667,100611.6667,49,18.23486506,
J0517,manesar,28.31772,76.91597,AD00088,2022-09-09T04:01:00,2,2,1160,9.663,9.66,100896.6667,100912.3333,15.66666667,13.50574713,
J0518,sonipat,28.95255,77.10384,AD00096,2022-12-24T04:01:00,0,1.93,2318.43,19.987,19.98,99707,99986,279,120.3400577,
J0519,manesar,28.54393,77.3353,AD00102,2022-08-10T00:00:00,1,1.99,2879.75,24.004,28.81,100609,100704.6667,95.66666667,33.22047631,
J0520,manesar,28.31767,76.91597,AD00088,2022-09-05T04:01:00,2,2,1840.44,15.339,15.33,100404,100451.3333,47.33333333,25.71848761,
J0521,pasadena,34.19942,-118.173,AD00099,2022-10-03T00:00:00,0,1.85,2668.98,24.003,31.98,100013,100091.3333,78.33333333,29.34953927,
J0523,pasadena,34.1994,-118.173,AD00097,2023-04-05T00:00:00,0,1.87,2694.43,24.004,31.99,100632.3333,100641.6667,9.333333333,3.463936095,
J0524,pretoria,-25.9005,28.10801,AD00103,2023-01-24T00:00:00,0,1.86,2686.54,24.004,40.97,100339.6667,100352.6667,13,4.838937816,
J0530,tainan,23.00164,120.2207,AD00092,2022-08-21T00:00:00,0,1.99,2879.29,24.004,46.97,99088.66667,99110,21.33333333,7.409233989,
J0532,pasadena,34.19944,-118.173,AD00099,2022-07-30T00:00:00,0,1.86,2687.46,24.004,31.98,100274.3333,100276.3333,2,0.744197123,
J0537,adama,9.033422,38.76477,AD00098,2023-04-15T00:00:00,1,1.89,1809.38,15.9,15.9,,,,,
J0538,beijing,39.9527,116.4606,AD00100,2024-01-27T00:00:00,0,2,2880.03,24.004,46.99,,,,,
J0541,adama,8.985671,38.71133,AD00098,2023-07-20T00:00:00,0,1.86,2008.89,17.975,17.97,,,,,
J0542,pretoria,-25.9004,28.10795,AD00103,2022-12-16T00:00:00,0,1.86,2687.75,24.004,40.97,101837.3333,101859.6667,22.33333333,8.309304561,
J0543,atlanta,33.68798,-84.2904,AD00089,2022-09-30T00:00:00,0,1.86,2688.63,24.004,34.98,99395,99415,20,7.438732737,
J0544,beijing,39.95271,116.4606,AD00100,2024-01-21T00:00:00,0,1.99,2879.08,24.004,46.99,,,,,
J0545,adama,8.542754,39.27579,AD00091,2024-03-09T00:00:00,0,1.99,2879.43,24.004,41.99,99491.33333,99969.33333,478,166.0050774,
J0549,pretoria,-25.9005,28.10802,AD00103,2022-10-29T00:00:00,0,1.98,2862.17,24.004,40.97,98858,98863.33333,5.333333333,1.863388035,
