"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"Delhi, India","AD00096","J0101",2021-07-03,20.3,62,25.7,69.7,39.7,31.4
"Delhi, India","AD00096","J0101",2021-07-02,23.7,72,12.7,22.3,54.7,30
"AASTU, Ethiopia","AD00093","J0016",2021-07-01,6.7,19,5.3,8.6,21.1,41.3
"AASTU, Ethiopia","AD00098","J0060",2021-07-01,6.7,19,6.6,10.4,18.2,42
"Amity University Noida, India","AD00088","J0039",2021-07-01,6.3,20,6.1,10.8,23.7,41.7
"Amity University Noida, India","AD00090","J0065",2021-07-01,6.7,21,6.9,11.8,22.9,38.1
"Delhi, India","AD00096","J0101",2021-07-01,24,73,4.3,10.3,43.6,34.4
"Pretoria, South Africa","AD00103","J0059",2021-07-01,6.3,20,6.4,10.8,20,39.6
"Pretoria, South Africa","AD00104","D0877",2021-07-01,6.7,21,6.6,10.8,25.4,38.1
"Taichung, Taiwan","AD00094","J0038",2021-07-01,4.7,12,7.5,13.3,19.3,40.3
"Tainan, Taiwan","AD00092","J0118",2021-07-01,6.7,20,6.2,11.6,19.6,39.5
"Tainan, Taiwan","AD00101","J0099",2021-07-01,6.7,21,5.6,9.6,17.7,41.4
"AASTU, Ethiopia","AD00093","D0877",2021-06-30,16.3,34,0.2,0.6,22.1,33
"AASTU, Ethiopia","AD00093","J0016",2021-06-30,23.7,72,2.4,6.9,28.2,35.1
"Amity University Noida, India","AD00088","J0039",2021-06-30,23.7,72,2.8,7.2,31.7,34.8
"Amity University Noida, India","AD00090","J0065",2021-06-30,23.4,70,2.8,7.6,29.8,33.3
"Pretoria, South Africa","AD00103","J0059",2021-06-30,23.7,72,75.4,6.7,29,32.3
"Pretoria, South Africa","AD00104","D0877",2021-06-30,23.7,72,2.6,7.2,34.7,30.7
"Taichung, Taiwan","AD00094","J0038",2021-06-30,23.3,65,3.4,7.6,31.8,31.4
"Tainan, Taiwan","AD00092","J0118",2021-06-30,23.3,70,2.2,6.2,27.7,32.8
"Tainan, Taiwan","AD00101","J0099",2021-06-30,4.7,15,5,8.7,12.8,43.6
"AASTU, Ethiopia","AD00098","J0060",2021-06-29,19.3,59,5.7,11.7,22,35.5
"Amity University Noida, India","AD00088","J0039",2021-06-29,23.7,72,6.8,12.4,33.2,32
"Amity University Noida, India","AD00090","J0065",2021-06-29,24,73,8,15.6,31.9,30
"Pretoria, South Africa","AD00103","J0059",2021-06-29,23.7,72,7.1,14.5,30.4,30
"Pretoria, South Africa","AD00104","D1441",2021-06-29,0,1,1.4,1.4,32,28.4
"Taichung, Taiwan","AD00094","J0038",2021-06-29,24,65,7.4,13,34.4,27.7
"Tainan, Taiwan","AD00092","J0118",2021-06-29,23.7,72,6.6,12.8,29.7,30
"Tainan, Taiwan","AD00101","J0099",2021-06-29,23.7,72,6.6,11.2,27.4,31.9
"AASTU, Ethiopia","AD00098","J0060",2021-06-28,23.6,72,4.2,8.6,29.1,29.2
"Amity University Noida, India","AD00088","J0039",2021-06-28,0,1,20.6,20.6,39.6,25.8
"Amity University Noida, India","AD00088","J0039",2021-06-28,23.7,73,4.7,9.8,36.2,28.8
"Amity University Noida, India","AD00090","J0065",2021-06-28,23.7,72,15.5,36.3,34.5,27.3
"Pretoria, South Africa","AD00103","J0059",2021-06-28,24,74,5.3,11.8,34.9,25.9
"Taichung, Taiwan","AD00094","J0038",2021-06-28,23.7,65,6,14.6,37.6,24.8
"Tainan, Taiwan","AD00092","J0118",2021-06-28,23.6,72,4.4,9.2,33.4,26.4
"Tainan, Taiwan","AD00101","J0099",2021-06-28,23.7,72,4.3,8.4,30,28.5
"Delhi, India","AD00096","J0103",2021-06-27,23.7,72,5.9,10,38.5,36.4
"Delhi, India","AD00096","J0103",2021-06-26,23.7,72,8.6,18.8,40.5,34.7
"Delhi, India","AD00096","J0103",2021-06-25,23.7,72,22,32,43.1,31.1
"AASTU, Ethiopia","AD00098","J0060",2021-06-24,13.3,41,10.9,24.3,17.4,40.9
"Amity University Noida, India","AD00088","J0039",2021-06-24,22,67,10.2,19.3,35.6,33.2
"Amity University Noida, India","AD00090","J0065",2021-06-24,22.3,67,14.9,34.3,34.1,30.9
"Delhi, India","AD00096","J0103",2021-06-24,23.7,72,19.4,31.3,44.4,31.2
"Pretoria, South Africa","AD00103","J0059",2021-06-24,22,67,10.5,19.8,32.4,31.1
"Tainan, Taiwan","AD00092","J0118",2021-06-24,22.3,68,9.6,18,31.5,31.1
"Tainan, Taiwan","AD00101","J0099",2021-06-24,22.3,68,9.6,18.3,28.3,33.1
"AASTU, Ethiopia","AD00098","J0060",2021-06-23,23.7,72,19.8,36.6,13.2,39.2
"Amity University Noida, India","AD00088","J0039",2021-06-23,24,73,20.6,38.8,19.9,38.4
"Amity University Noida, India","AD00090","J0065",2021-06-23,23.7,72,22.1,40,16.4,36.2
"Delhi, India","AD00096","J0073",2021-06-23,5,16,9.6,11.6,25.9,38.1
"Pretoria, South Africa","AD00103","J0059",2021-06-23,24,73,20.1,37,15.7,36
"Tainan, Taiwan","AD00092","J0118",2021-06-23,23.7,72,19,33,14.6,36.5
"Tainan, Taiwan","AD00101","J0099",2021-06-23,23.7,72,18.5,33.2,13.8,38
